id	created_at	updated_at	drug_id	form	routes	strength_numerators	strength_numerator_unit	strength_denominator	strength_denominator_unit
1	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	1	TABLET, COATED	{ORAL}	{150}	MG	1	TABLET
2	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	2	TABLET, COATED	{ORAL}	{300}	MG	1	TABLET
3	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	3	TABLET	{ORAL}	{30,60,120}	MG	1	TABLET
4	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	4	TABLET, COATED	{ORAL}	{300}	MG	1	TABLET
5	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	5	TABLET	{ORAL}	{30,60,300,600}	MG	1	TABLET
6	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	6	TABLET	{ORAL}	{150,300}	MG	1	TABLET
7	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	7	TABLET, COATED	{ORAL}	{50,300,600}	MG	1	TABLET
8	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	8	CAPSULE	{ORAL}	{30,60}	MG	1	CAPSULE
9	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	8	TABLET	{ORAL}	{300,600}	MG	1	TABLET
10	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	9	VACCINE	{ORAL,INJECTION}	{2.5}	IU	0.5	ML
11	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	3	TABLET, COATED	{ORAL}	{30,60,300,600}	MG	1	TABLET
12	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	5	TABLET, COATED	{ORAL}	{300,600}	MG	1	TABLET
13	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	10	TABLET, COATED	{ORAL}	{12.5,25,150,300}	MG	1	TABLET
14	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	11	TABLET	{ORAL}	{400}	MG	1	TABLET
15	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	4	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{20}	MG	1	ML
16	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	12	TABLET, COATED	{ORAL}	{10,12.5,20}	MG	1	TABLET
17	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	1	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{10}	MG	1	ML
18	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	13	TABLET	{ORAL}	{250}	MG	1	TABLET
19	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	14	TABLET	{ORAL}	{200,400,800}	MG	1	TABLET
20	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	3	TABLET	{ORAL,RECTAL,VAGINAL,SUBLINGUAL,BUCCAL}	{300,600}	MG	1	TABLET
21	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	11	TABLET, COATED	{ORAL}	{200}	MG	1	TABLET
22	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	4	TABLET	{ORAL}	{300}	MG	1	TABLET
23	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	15	TABLET, COATED	{ORAL}	{100}	MG	1	TABLET
24	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	16	TABLET, COATED	{ORAL}	{50,300}	MG	1	TABLET
25	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	17	TABLET	{ORAL}	{216,360}	MG	1	TABLET
26	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	18	TABLET	{ORAL}	{1.25,30}	MG	1	TABLET
27	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	19	INJECTABLE	{INJECTION}	{1001}	U	1	ML
28	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	20	INJECTABLE	{INJECTION}	{100}	IU	1	ML
29	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	21	INJECTABLE	{INJECTION}	{100}	UNITS	1	ML
30	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	17	TABLET	{ORAL,RECTAL,VAGINAL,SUBLINGUAL,BUCCAL}	{216}	MG	1	TABLET
31	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	22	TABLET, COATED	{ORAL}	{10,20,30,60}	MG	1	TABLET
32	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	19	SOLUTION	{INJECTION}	{100}	IU	1	ML
33	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	23	SOLUTION	{INJECTION}	{2}	MG	1	ML
34	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	24	GRANULE, FOR SUSPENSION	{ORAL}	{125,250}	MG	5	ML
35	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	25	TABLET, COATED	{ORAL}	{10,20,40}	MG	1	TABLET
36	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	23	TABLET	{ORAL}	{250,500}	MG	1	TABLET
37	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	26	TABLET, COATED	{ORAL}	{10}	MG	1	TABLET
38	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	27	TABLET	{ORAL}	{200,400}	MG	1	TABLET
39	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	16	TABLET	{ORAL}	{50,300}	MG	1	TABLET
40	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	14	SUSPENSION	{ORAL}	{200}	MG	5	ML
41	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	23	GRANULE, FOR SUSPENSION	{ORAL}	{5}	G	100	G
42	2024-02-28 20:25:51.450172-05	2024-02-28 20:25:51.450172-05	24	CAPSULE	{ORAL}	{250,500}	MG	1	CAPSULE
